Moderation Judgement	Targeted Statement	Context Paragraph	Biographical Subject	Biographical Summary	Edit Date	Editor username	Annotator n°1 judgement	Annotator n°2 judgement	Annotator n°3 judgement	Annotator n°4 judgement	Annotator n°5 judgement	Annotator's Majority Vote	Neutral Vote Ratio	Non-neutral Vote Ratio	ELB	POV	PDEI
non-neutral	Pour protester contre cette caution gouvernementale donnée aux violences policières, le groupe de La France insoumise quitte l'hémicycle.	Il soutient le mouvement des Gilets jaunes et participe régulièrement aux manifestations. Le 2 mars 2019, après avoir participé à Bordeaux à une manifestation et qu'il était en train de la quitter, il est blessé à une oreille par un coup de matraque porté par un policier. À la suite du dépôt de plainte auprès de l’Inspection générale de la police nationale le préfet Didier Lallement réplique rapidement sur le compte Twitter de la préfecture : les forces de l’ordre « ont correctement fait leur travail [...]. Je les soutiens totalement », écrit-il. Dans une réponse à ces faits, devant l'Assemblée nationale, le ministre de l'Intérieur, Christophe Castaner oppose une autre version des faits, et reproche au député d'avoir « provoqué » les policiers. Pour protester contre cette caution gouvernementale donnée aux violences policières, le groupe de La France insoumise quitte l'hémicycle.	Loïc Prud'homme	"Loïc Prud'homme, né le 19 août 1969 à Bègles, est un homme politique français.

Membre de La France insoumise, il est élu député dans la 3e circonscription de la Gironde lors des élections législatives de 2017, puis réélu en 2022 et en 2024."	2022-02-16	79.84.15.44	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	0	1	0
neutral	En 2017, Jean-Luc Mélenchon justifie sa démission d'une mission parlementaire sur la Nouvelle-Calédonie présidée par Manuel Valls en rappelant ses propos sur les « white » et les « blancos », et en l'accusant de « proximité avec les thèses ethnicistes de l'extrême droite ».	En 2017, Jean-Luc Mélenchon justifie sa démission d'une mission parlementaire sur la Nouvelle-Calédonie présidée par Manuel Valls en rappelant ses propos sur les « white » et les « blancos », et en l'accusant de « proximité avec les thèses ethnicistes de l'extrême droite ».	Manuel Valls	"Manuel Valls, né le 13 août 1962 à Barcelone (Espagne), est un homme d'État français, possédant également la nationalité espagnole. Il est ministre d'État, ministre des Outre-mer du 23 décembre 2024 au 12 octobre 2025.

Originaire de Barcelone, il déménage en France à la fin des années 70 et adhère au Parti socialiste en 1980 dans la tendance rocardienne du parti, opposée à François Mitterrand. Conseiller de Michel Rocard, il intègre le cabinet du leader de la deuxième gauche lors de la nomination de ce dernier à Matignon en 1988 et gravit progressivement les échelons jusqu'à intégrer la direction du parti lorsque Michel Rocard devient Premier secrétaire en 1993.

Électoralement, il est élu conseiller régional d'Île-de-France en 1986 et intègre l'exécutif francilien en tant que Premier vice-président lorsque la gauche menée par Jean-Paul Huchon remporte la région en 1998. Après une tentative de s’implanter dans le Val d'Oise lors des élections législatives de 1997, il devient l'un des barons socialistes de l'Essonne, devenant le maire d’Évry de 2001 à 2012, puis député du département de 2002 à 2018.

Candidat arrivé avant dernier à la primaire citoyenne de 2011, il apporte son soutien à François Hollande. Une fois François Hollande élu, il est nommé ministre de l’Intérieur dans les gouvernements Jean-Marc Ayrault, de 2012 à 2014, avant de devenir Premier ministre après l'échec de la gauche aux élections municipales de 2014.

Symbole du tournant social-libéral du quinquennat, son gouvernement doit utiliser l'article 49.3, en raison des frondeurs socialistes hostiles à sa politique, pour faire adopter les lois Macron et El Khomri, provoquant un mouvement social de plusieurs mois. Il est également confronté lors de son passage à Matignon aux attentats islamistes frappant la France en 2015.

Il démissionne à la fin de l’année 2016 de ses fonctions de Premier ministre pour se présenter à la primaire citoyenne de 2017, qu'il perd au second tour face à Benoît Hamon. Lors de l’élection présidentielle qui suit, il refuse de soutenir Benoît Hamon comme il s'y était engagé et annonce soutenir son ancien ministre de l'Économie Emmanuel Macron. Réélu député, il quitte ensuite le Parti socialiste et siège en tant qu'apparenté au groupe La République en marche à l’Assemblée nationale.

Il annonce en 2018 son retrait de la vie politique française pour être candidat aux élections municipales de 2019 à Barcelone, sa ville natale : sa liste arrive en quatrième position et il est élu conseiller municipal. Hostile aux indépendantistes catalans, il vote en faveur de Ada Colau pour la fonction de maire. Il démissionne finalement de son mandat municipal en 2021.

De retour en France, il se présente sans succès aux élections législatives de 2022 des représentants des Français établis hors de France pour la coalition de la majorité présidentielle Ensemble. Après deux ans sans fonction politique, il est nommé ministre d'État, ministre des Outre-mer en 2024 dans le gouvernement Bayrou, puis en 2025 dans le gouvernement Lecornu I."	2017-10-10	Erik Bovin	neutral	neutral	non-neutral	non-neutral	neutral	neutral	3	2	Null	Null	Null
neutral	Son retour en France est présenté par la presse comme une « gêne », voire un « handicap », pour le Parti socialiste, dont plusieurs dirigeants se sont démarqués de lui	Son retour en France est présenté par la presse comme une « gêne », voire un « handicap », pour le Parti socialiste, dont plusieurs dirigeants se sont démarqués de lui. En effet, les commentateurs considèrent que son image est durablement écornée dans l'opinion publique et estiment son retour en politique impossible dans l'immédiat, ce que confirment plusieurs sondages. 	Dominique Strauss-Khan	"Dominique Strauss-Kahn, dit « DSK », né le 25 avril 1949 à Neuilly-sur-Seine, est un économiste, homme politique et haut fonctionnaire international français.

Il est député socialiste de la Haute-Savoie puis du Val-d'Oise à partir de 1986, président de la commission des Finances de l'Assemblée nationale de 1988 à 1991, ministre de l'Industrie et du Commerce extérieur de 1991 à 1993, dans les gouvernements Édith Cresson et Pierre Bérégovoy, et maire de Sarcelles de 1995 à 1997.

Après avoir contribué à la victoire de la gauche plurielle aux élections législatives de 1997, il est nommé ministre de l'Économie, des Finances et de l'Industrie dans le gouvernement Lionel Jospin. Mis en cause dans des affaires judiciaires en 1999, il démissionne du gouvernement, puis retrouve son mandat de député en 2001, avant de bénéficier d'un non-lieu et d'une relaxe. Candidat à la primaire socialiste de 2006, il est battu au premier tour par Ségolène Royal.

Sur proposition du président français Nicolas Sarkozy, il devient en 2007 directeur général du Fonds monétaire international (FMI). À la tête de l’institution, il est notamment confronté à la crise bancaire et financière mondiale de 2008 et aux débuts de la crise de la dette dans la zone euro.

En mai 2011, il est mis en cause dans le cadre d'une accusation d'agression sexuelle à New York, ce qui le contraint à quitter la tête du FMI ; il bénéficie finalement d'un non-lieu au pénal, avant qu'un accord financier impliquant le versement de plus d’un million de dollars à la plaignante ne mette fin l'année suivante à la procédure engagée au civil. Il est par la suite mis en cause dans d'autres affaires de mœurs, qui se soldent par un classement sans suite ou une relaxe.

La médiatisation de ces affaires judiciaires discrédite l'hypothèse de sa candidature à l'élection présidentielle de 2012, où il était donné favori pour représenter le Parti socialiste ainsi que remporter la présidence, et met fin à sa carrière politique. Il reprend ensuite des activités dans le secteur privé, en conseillant principalement des gouvernements sur leurs dettes souveraines, et réside depuis au Maroc."	2011-09-04	Cheep	neutral	neutral	neutral	non-neutral	neutral	neutral	4	1	Null	Null	Null
non-neutral	Selon Le Canard enchaîné, il donne son soutien en 2020 à un plan de suppression de près de 600 emplois et de 174 lits au Centre hospitalier de Nancy. Cette décision lui sera reprochée lors de la saturation des hôpitaux provoquée par la pandémie de Covid-19.	Selon Le Canard enchaîné, il donne son soutien en 2020 à un plan de suppression de près de 600 emplois et de 174 lits au Centre hospitalier de Nancy. Cette décision lui sera reprochée lors de la saturation des hôpitaux provoquée par la pandémie de Covid-19.	Laurent Hénart	"Laurent Hénart, né le 15 octobre 1968 à Laxou (Meurthe-et-Moselle), est un homme politique français.

Élu député de Meurthe-et-Moselle en 2002, il est secrétaire d'État chargé de l'Insertion professionnelle des jeunes de 2004 à 2005. Il est maire de Nancy et vice-président de la métropole du Grand Nancy de 2014 à 2020.

Membre de l’UMP puis de l’UDI, il préside le Parti radical de 2014 à 2024 ainsi que le Mouvement radical de 2017 à sa disparition en 2021."	2020-05-15	89.158.112.111	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	0	0	1
non-neutral	"Elle lance officiellement sa campagne, en tant que candidate tête de liste ""notre Sud en commun"", rassemblant plusieurs partis de gauche et écologistes autour d'elle, le 27 juin 2015, à Montpellier./// Une fois élue, elle lance de nombreuses initiatives régionales en faveur de l'économie locale et de l'écologie en fédérant sur le territoire de nombreux départements, mairies et communautés de communes, de bord politique souvent divers : Convention citoyenne pour l'Occitanie, budgets participatifs, Green New Deal Occitanie, DansMaZone, Plan Rail pour les petites lignes et le fret ferroviaire, Fond l'Occal en aide aux petits commerçants, 1ère région à énergie positive d'Europe, transports LIO à 1€, Pacte Vert, création d'une agence de la biodiversité d'Occitanie, dispositif génération égalité, plan régional pour l'emploi et la croissance, création de campus sur les métiers de demain etc..."	"En janvier 2015, elle déclare être candidate à la primaire PS visant à désigner le candidat du parti pour les élections régionales en région Occitanie. Elle lance officiellement sa campagne, en tant que candidate tête de liste ""notre Sud en commun"", rassemblant plusieurs partis de gauche et écologistes autour d'elle, le 27 juin 2015, à Montpellier. /// Une fois élue, elle lance de nombreuses initiatives régionales en faveur de l'économie locale et de l'écologie en fédérant sur le territoire de nombreux départements, mairies et communautés de communes, de bord politique souvent divers : Convention citoyenne pour l'Occitanie, budgets participatifs, Green New Deal Occitanie, DansMaZone, Plan Rail pour les petites lignes et le fret ferroviaire, Fond l'Occal en aide aux petits commerçants, 1ère région à énergie positive d'Europe, transports LIO à 1€, Pacte Vert, création d'une agence de la biodiversité d'Occitanie, dispositif génération égalité, plan régional pour l'emploi et la croissance, création de campus sur les métiers de demain etc..."	Carole Delga	"Carole Delga, née le 19 août 1971 à Toulouse, est une femme politique française.

Fonctionnaire territoriale de profession, elle rejoint en 2004 le Parti socialiste où elle se positionne à l'aile droite. Localement, elle est élue maire de Martres-Tolosane entre 2008 et 2014 puis vice-présidente du conseil régional de Midi-Pyrénées de 2010 à 2012.

Au niveau national, elle est députée de la Haute-Garonne de 2012 à 2017, à l’exception d'une période d'un an où elle rentre dans les gouvernements de Manuel Valls en tant que secrétaire d'État chargée du Commerce, de l'Artisanat, de la Consommation et de l'Économie sociale et solidaire.

Elle est élue à partir de 2015 présidente du conseil régional de la nouvelle région Occitanie, poste pour lequel elle décide de céder son siège de députée en 2017 pour respecter le loi sur le non-cumul des mandats. Elle demeure au Parti socialiste malgré le ralliement de nombreux cadres de son courant à Emmanuel Macron. Elle devient présidente de l'association Régions de France à partir de 2021 et sa réélection à la présidence de la région Occitanie.

Initialement soutien d'Olivier Faure lors de sa première élection en tant que Premier secrétaire du parti, elle devient l'un de ses principaux opposants internes en raison de son hostilité envers l'union de la gauche avec La France insoumise de Jean-Luc Mélenchon."	2021-01-12	Cheep	non-neutral	neutral	non-neutral	non-neutral	neutral	non-neutral	2	3	1	0	1
neutral	Selon Le Canard enchaîné, il serait à l'origine du limogeage par Gérald Darmanin de la préfète d'Indre-et-Loire Marie Lajus en 2023, pour avoir fait respecter les lois du droit de l'urbanisme. Celle-ci a bloqué différentes proposition du projet Da Vinci Labs, un laboratoire de 4 000 m2 dédié à la recherche en intelligence artificielle et mécanique quantique. Ses promoteurs prévoyaient de le placer en toute illégalité, d'abord aux abords du Château de La Vallière, un château du XVIe siècle, classé aux monuments historiques et entouré d'arbres centenaires qu'il aurait fallu raser. Les Bâtiments de France avaient refusé l'autorisation de construction pour ces raisons. Le château propriété de l'industriel Xavier Aubry devait être transformé en hôtel de luxe et c'est ce propriétaire qui était également le porteur de ce projet. Son second projet était de placer l'incubateur plus loin, sur des terres cultivables, également en toute légalité.	Selon Le Canard enchaîné, il serait à l'origine du limogeage par Gérald Darmanin de la préfète d'Indre-et-Loire Marie Lajus en 2023, pour avoir fait respecter les lois du droit de l'urbanisme. Celle-ci a bloqué différentes proposition du projet Da Vinci Labs, un laboratoire de 4 000 m2 dédié à la recherche en intelligence artificielle et mécanique quantique. Ses promoteurs prévoyaient de le placer en toute illégalité, d'abord aux abords du Château de La Vallière, un château du XVIe siècle, classé aux monuments historiques et entouré d'arbres centenaires qu'il aurait fallu raser. Les Bâtiments de France avaient refusé l'autorisation de construction pour ces raisons. Le château propriété de l'industriel Xavier Aubry devait être transformé en hôtel de luxe et c'est ce propriétaire qui était également le porteur de ce projet. Son second projet était de placer l'incubateur plus loin, sur des terres cultivables, également en toute égalité.	Daniel Labaronne	"Daniel Labaronne, né le 16 juillet 1955 à Paris, est un homme politique français.
Économiste, il est maire de la commune de Bléré de 2014 à 2017. Membre de La République en marche, il est élu député dans la deuxième circonscription d'Indre-et-Loire lors des élections législatives françaises de 2017, puis réélu en 2022 et en 2024."	2023-01-30	Erik Bovin	non-neutral	non-neutral	non-neutral	non-neutral	neutral	non-neutral	1	4	Null	Null	Null
neutral	"En 2007, il refuse à Nicolas Sarkozy, élu président de la République, d'entrer dans le gouvernement Fillon au titre de l'""ouverture""."	Manuel Valls est élu maire d'Évry (Essonne) en mars 2001, puis député de la 1re circonscription de l'Essonne le 16 juin 2002, pour la XIIe législature (2002-2007). Il est réélu aux élections législatives de 2007 avec 60,12 % des voix. Il se distingue alors par ses appels à la refondation du PS et à son changement de nom. En 2007, il refuse à Nicolas Sarkozy, élu président de la République, d'entrer dans le gouvernement Fillon au titre de l'« ouverture ». Manuel Valls est lié à Alain Bauer, conseiller du président de la République pour les questions de sécurité et ancien Grand Maitre du Grand Orient de France. De 1994 à 1997, son ex-femme, Nathalie Soulié, a été secrétaire d'AB Associates, société de consultants en sécurité fondée par Bauer. Valls a été réélu maire d'Evry en 2008 avec 70,28 % des voix, mais moins d'un tiers des inscrits en raison d'une forte absention.	Manuel Valls	"Manuel Valls, né le 13 août 1962 à Barcelone (Espagne), est un homme d'État français, possédant également la nationalité espagnole. Il est ministre d'État, ministre des Outre-mer du 23 décembre 2024 au 12 octobre 2025.

Originaire de Barcelone, il déménage en France à la fin des années 70 et adhère au Parti socialiste en 1980 dans la tendance rocardienne du parti, opposée à François Mitterrand. Conseiller de Michel Rocard, il intègre le cabinet du leader de la deuxième gauche lors de la nomination de ce dernier à Matignon en 1988 et gravit progressivement les échelons jusqu'à intégrer la direction du parti lorsque Michel Rocard devient Premier secrétaire en 1993.

Électoralement, il est élu conseiller régional d'Île-de-France en 1986 et intègre l'exécutif francilien en tant que Premier vice-président lorsque la gauche menée par Jean-Paul Huchon remporte la région en 1998. Après une tentative de s’implanter dans le Val d'Oise lors des élections législatives de 1997, il devient l'un des barons socialistes de l'Essonne, devenant le maire d’Évry de 2001 à 2012, puis député du département de 2002 à 2018.

Candidat arrivé avant dernier à la primaire citoyenne de 2011, il apporte son soutien à François Hollande. Une fois François Hollande élu, il est nommé ministre de l’Intérieur dans les gouvernements Jean-Marc Ayrault, de 2012 à 2014, avant de devenir Premier ministre après l'échec de la gauche aux élections municipales de 2014.

Symbole du tournant social-libéral du quinquennat, son gouvernement doit utiliser l'article 49.3, en raison des frondeurs socialistes hostiles à sa politique, pour faire adopter les lois Macron et El Khomri, provoquant un mouvement social de plusieurs mois. Il est également confronté lors de son passage à Matignon aux attentats islamistes frappant la France en 2015.

Il démissionne à la fin de l’année 2016 de ses fonctions de Premier ministre pour se présenter à la primaire citoyenne de 2017, qu'il perd au second tour face à Benoît Hamon. Lors de l’élection présidentielle qui suit, il refuse de soutenir Benoît Hamon comme il s'y était engagé et annonce soutenir son ancien ministre de l'Économie Emmanuel Macron. Réélu député, il quitte ensuite le Parti socialiste et siège en tant qu'apparenté au groupe La République en marche à l’Assemblée nationale.

Il annonce en 2018 son retrait de la vie politique française pour être candidat aux élections municipales de 2019 à Barcelone, sa ville natale : sa liste arrive en quatrième position et il est élu conseiller municipal. Hostile aux indépendantistes catalans, il vote en faveur de Ada Colau pour la fonction de maire. Il démissionne finalement de son mandat municipal en 2021.

De retour en France, il se présente sans succès aux élections législatives de 2022 des représentants des Français établis hors de France pour la coalition de la majorité présidentielle Ensemble. Après deux ans sans fonction politique, il est nommé ministre d'État, ministre des Outre-mer en 2024 dans le gouvernement Bayrou, puis en 2025 dans le gouvernement Lecornu I."	2011-07-07	Alain843	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	Null	Null	Null
neutral	Ce radoucissement de sa position à l'égard de la candidate frontiste s'ajoute à une proximité publiquement observée avec la députée Marion Maréchal depuis décembre 2015.	En février 2017, tout en se gardant de prendre position en faveur d'un candidat à élection présidentielle des 23 avril et 7 mai, et en indiquant qu'il ne ferait « plus de politique » et qu'il aurait « troqué les électeurs contre des lecteurs », il semble infléchir sa position jusque-là réticente à l'égard de Marine Le Pen, en estimant qu’« elle a une carrure présidentielle » et que « sa main ne tremblera pas lorsqu’il faudra prendre des décisions douloureuses ». Ce radoucissement de sa position à l'égard de la candidate frontiste s'ajoute à une proximité publiquement observée avec la députée Marion Maréchal depuis décembre 2015. Ariane Chemin et Olivier Faye, journalistes au Monde, relèvent qu'il fréquente Marine Le Pen pendant sa campagne présidentielle de 2017 et estiment qu'il « veut aider la présidente du FN à s’installer à l’Elysée ». 	Philippe De Villiers	"Philippe Le Jolis de Villiers de Saintignon, plus connu comme Philippe de Villiers, né le 25 mars 1949 à Boulogne (Vendée), est un entrepreneur, haut fonctionnaire, homme politique et écrivain français. Il est généralement associé à la droite souverainiste.

Ancien sous-préfet, il crée en Vendée, en 1978, le spectacle nocturne La Cinéscénie, puis un parc à thème, le Puy du Fou. Il quitte l'administration à la suite de l'élection de François Mitterrand à la présidence de la République.

Membre de l'UDF, Philippe de Villiers exerce la fonction de secrétaire d'État à la Culture de 1986 à 1987, dans le gouvernement Chirac II. Il est ensuite député, président du conseil général de la Vendée et député européen. En 1989, avant la première édition du Vendée Globe, il fait adopter un changement de nom de Globe Challenge à Vendée Globe Challenge. En 2002, il contribue à la survie de la course, lorsque l'organisateur est placé en liquidation judiciaire.

Fondateur en 1994 et président du Mouvement pour la France (MPF), parti politique de droite souverainiste, Philippe de Villiers se présente aux élections présidentielles de 1995 et de 2007, obtenant respectivement 4,74% et 2,23% des suffrages exprimés.

En retrait de la vie politique les années suivantes, Philippe de Villiers devient une figure de la « droite hors les murs », comme ses amis Patrick Buisson et Éric Zemmour, militant pour une union des droites entre Les Républicains et le Rassemblement national. Lors de l'élection présidentielle de 2022, il apporte son soutien au candidat Éric Zemmour et rejoint son parti Reconquête. Depuis septembre 2023, Philippe de Villiers est l'invité principal d'une l'émission hebdomadaire sur CNews, intitulée Face à Philippe de Villiers, durant laquelle il commente l'actualité. Ses audiences sont régulièrement soulignées par la presse.

Pendant son parcours politique et dans ses ouvrages, qui rencontrent régulièrement des succès en librairie, il défend les « racines chrétiennes de la France » et s'oppose à une « islamisation » qui affecte selon lui le pays. Plusieurs de ses propos ont fait l’objet de nombreuses critiques et de controverses, notamment des accusations de contre-vérités, de complotisme, et d’homophobie.

Il est le frère aîné du général Pierre de Villiers, ancien chef d'état-major des armées, et le père du président du Puy du Fou Nicolas de Villiers."	2017-02-22	Hégésippe Cormier	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	non-neutral	0	5	Null	Null	Null
neutral	"Son passage à ce ministère délégué est notamment marqué par une réforme des certificats d'aptitude professionnelle, une réforme de la validation des acquis, et la création du label ""lycée des métiers"". "	En mars 2000, il accepte de participer au gouvernement de cohabitation de Lionel Jospin comme ministre délégué à l'Enseignement professionnel auprès du ministre de l'Éducation nationale Jack Lang, après avoir refusé les secrétariats d'État au Logement en 1997 et à l'Outre-Mer. Son passage à ce ministère délégué est notamment marqué par une réforme des certificats d'aptitude professionnelle (CAP), une réforme de la validation des acquis, et la création du label « lycée des métiers ». Il occupe cette fonction jusqu'à l'élection présidentielle de 2002, qui voit le Premier ministre socialiste, Lionel Jospin, éliminé au premier tour.	Jean-Luc Mélenchon	"Jean-Luc Mélenchon, né le 19 août 1951 à Tanger (Maroc), est un homme politique français.

Membre de l’Organisation communiste internationaliste de 1972 à 1976, il entre ensuite au Parti socialiste (PS) et devient successivement conseiller municipal de Massy en 1983, conseiller général de l'Essonne en 1985 et sénateur en 1986. Il est également ministre délégué à l'Enseignement professionnel de 2000 à 2002, dans le gouvernement Jospin. Il fait partie de l'aile gauche du PS jusqu'au congrès de 2008, à l'issue duquel il part fonder le Parti de gauche.

Sous les couleurs du Front de gauche, coalition qui réunit notamment le Parti de gauche et le Parti communiste français, il est élu député européen en 2009 et réélu en 2014. Il est le candidat de cette coalition à l'élection présidentielle de 2012, à l'issue de laquelle il arrive en quatrième position, avec 11,1 % des voix.

En 2016, il fonde La France insoumise et se présente sous cette étiquette à l'élection présidentielle de 2017, à laquelle il termine à nouveau en quatrième position, réunissant 19,6 % des suffrages. Il est ensuite député de la quatrième circonscription des Bouches-du-Rhône et préside le groupe La France insoumise à l'Assemblée nationale au cours du premier mandat d'Emmanuel Macron jusqu'en 2021.

En 2022, il se présente pour la troisième fois à l'élection présidentielle : il réalise son score le plus élevé, remportant 22 % des voix et arrivant largement en tête parmi les candidats de gauche, mais échoue une nouvelle fois à accéder au second tour, terminant troisième. Pour les élections législatives, lors desquelles il ne brigue pas de second mandat, il est le chef de file de la coalition de gauche Nouvelle Union populaire écologique et sociale, qui devient la principale force d'opposition de l'Assemblée et prive Emmanuel Macron d'une majorité absolue.

Sans mandat électif après avoir laissé sa circonscription à Manuel Bompard, il reste actif dans le débat public et devient coprésident du laboratoire d'idées Institut La Boétie en 2023 auprès de Clémence Guetté."	2016-11-19	Léodras	neutral	neutral	neutral	neutral	neutral	neutral	5	0	Null	Null	Null
non-neutral	Cette décision, vécue comme « une purge » par ces cinq figures qui se sont opposées à Jean-Luc Mélenchon, provoque des tensions au sein de la jeune coalition Nouveau Front populaire, les autres partis déplorant une non-reconduite systématique des élus sortants pourtant prévue dans l'accord.	La France insoumise ne réinvestit toutefois pas certains députés « frondeurs » : Alexis Corbière, Raquel Garrido, Frédéric Mathieu, Hendrik Davi et Danielle Simonnet. Cette décision, vécue comme « une purge » par ces cinq figures qui se sont opposées à Jean-Luc Mélenchon, provoque des tensions au sein de la jeune coalition Nouveau Front populaire, les autres partis déplorant une non-reconduite systématique des élus sortants pourtant prévue dans l'accord.	Jean-Luc Mélenchon	"Jean-Luc Mélenchon, né le 19 août 1951 à Tanger (Maroc), est un homme politique français.

Membre de l’Organisation communiste internationaliste de 1972 à 1976, il entre ensuite au Parti socialiste (PS) et devient successivement conseiller municipal de Massy en 1983, conseiller général de l'Essonne en 1985 et sénateur en 1986. Il est également ministre délégué à l'Enseignement professionnel de 2000 à 2002, dans le gouvernement Jospin. Il fait partie de l'aile gauche du PS jusqu'au congrès de 2008, à l'issue duquel il part fonder le Parti de gauche.

Sous les couleurs du Front de gauche, coalition qui réunit notamment le Parti de gauche et le Parti communiste français, il est élu député européen en 2009 et réélu en 2014. Il est le candidat de cette coalition à l'élection présidentielle de 2012, à l'issue de laquelle il arrive en quatrième position, avec 11,1 % des voix.

En 2016, il fonde La France insoumise et se présente sous cette étiquette à l'élection présidentielle de 2017, à laquelle il termine à nouveau en quatrième position, réunissant 19,6 % des suffrages. Il est ensuite député de la quatrième circonscription des Bouches-du-Rhône et préside le groupe La France insoumise à l'Assemblée nationale au cours du premier mandat d'Emmanuel Macron jusqu'en 2021.

En 2022, il se présente pour la troisième fois à l'élection présidentielle : il réalise son score le plus élevé, remportant 22 % des voix et arrivant largement en tête parmi les candidats de gauche, mais échoue une nouvelle fois à accéder au second tour, terminant troisième. Pour les élections législatives, lors desquelles il ne brigue pas de second mandat, il est le chef de file de la coalition de gauche Nouvelle Union populaire écologique et sociale, qui devient la principale force d'opposition de l'Assemblée et prive Emmanuel Macron d'une majorité absolue.

Sans mandat électif après avoir laissé sa circonscription à Manuel Bompard, il reste actif dans le débat public et devient coprésident du laboratoire d'idées Institut La Boétie en 2023 auprès de Clémence Guetté."	2024-06-29	Spiderdiv	neutral	neutral	non-neutral	neutral	neutral	neutral	4	1	0	1	0
